"Tabela 6694 - Indicador 3.1.1 - Razão de Mortalidade Materna"
"Brasil, Grande Região e Unidade da Federação";"Ano";"Variável";""
"Norte";"2013";"Razão de mortalidade materna (Óbitos por 100 mil nascidos vivos)";"83,8"
"Norte";"2013";"Número de óbitos de mulheres residentes por causas e condições consideradas de morte materna (Pessoas)";"232"
"Norte";"2013";"Número de nascidos vivos de mães residentes (Pessoas)";"313272"
"Norte";"2014";"Razão de mortalidade materna (Óbitos por 100 mil nascidos vivos)";"93,6"
"Norte";"2014";"Número de óbitos de mulheres residentes por causas e condições consideradas de morte materna (Pessoas)";"253"
"Norte";"2014";"Número de nascidos vivos de mães residentes (Pessoas)";"321682"
"Norte";"2015";"Razão de mortalidade materna (Óbitos por 100 mil nascidos vivos)";"76,0"
"Norte";"2015";"Número de óbitos de mulheres residentes por causas e condições consideradas de morte materna (Pessoas)";"214"
"Norte";"2015";"Número de nascidos vivos de mães residentes (Pessoas)";"320924"
"Norte";"2016";"Razão de mortalidade materna (Óbitos por 100 mil nascidos vivos)";"84,5"
"Norte";"2016";"Número de óbitos de mulheres residentes por causas e condições consideradas de morte materna (Pessoas)";"223"
"Norte";"2016";"Número de nascidos vivos de mães residentes (Pessoas)";"307526"
"Norte";"2017";"Razão de mortalidade materna (Óbitos por 100 mil nascidos vivos)";"88,9"
"Norte";"2017";"Número de óbitos de mulheres residentes por causas e condições consideradas de morte materna (Pessoas)";"240"
"Norte";"2017";"Número de nascidos vivos de mães residentes (Pessoas)";"312682"
"Norte";"2018";"Razão de mortalidade materna (Óbitos por 100 mil nascidos vivos)";"80,8"
"Norte";"2018";"Número de óbitos de mulheres residentes por causas e condições consideradas de morte materna (Pessoas)";"230"
"Norte";"2018";"Número de nascidos vivos de mães residentes (Pessoas)";"319228"
"Norte";"2019";"Razão de mortalidade materna (Óbitos por 100 mil nascidos vivos)";"82,5"
"Norte";"2019";"Número de óbitos de mulheres residentes por causas e condições consideradas de morte materna (Pessoas)";"233"
"Norte";"2019";"Número de nascidos vivos de mães residentes (Pessoas)";"313696"
"Norte";"2020";"Razão de mortalidade materna (Óbitos por 100 mil nascidos vivos)";"98,9"
"Norte";"2020";"Número de óbitos de mulheres residentes por causas e condições consideradas de morte materna (Pessoas)";"285"
"Norte";"2020";"Número de nascidos vivos de mães residentes (Pessoas)";"301635"
"Norte";"2021";"Razão de mortalidade materna (Óbitos por 100 mil nascidos vivos)";"153,9"
"Norte";"2021";"Número de óbitos de mulheres residentes por causas e condições consideradas de morte materna (Pessoas)";"438"
"Norte";"2021";"Número de nascidos vivos de mães residentes (Pessoas)";"309362"
"Norte";"2022";"Razão de mortalidade materna (Óbitos por 100 mil nascidos vivos)";"82,0"
"Norte";"2022";"Número de óbitos de mulheres residentes por causas e condições consideradas de morte materna (Pessoas)";"218"
"Norte";"2022";"Número de nascidos vivos de mães residentes (Pessoas)";"289158"
"Norte";"2023";"Razão de mortalidade materna (Óbitos por 100 mil nascidos vivos)";"80,2"
"Norte";"2023";"Número de óbitos de mulheres residentes por causas e condições consideradas de morte materna (Pessoas)";"202"
"Norte";"2023";"Número de nascidos vivos de mães residentes (Pessoas)";"284197"
"Nordeste";"2009";"Razão de mortalidade materna (Óbitos por 100 mil nascidos vivos)";"82,5"
"Nordeste";"2009";"Número de óbitos de mulheres residentes por causas e condições consideradas de morte materna (Pessoas)";"631"
