"Tabela 6694 - Indicador 3.1.1 - Razão de Mortalidade Materna"
"Brasil, Grande Região e Unidade da Federação";"Ano";"Variável";""
"Rondônia";"2013";"Número de nascidos vivos de mães residentes (Pessoas)";"27097"
"Rondônia";"2014";"Razão de mortalidade materna (Óbitos por 100 mil nascidos vivos)";"87,7"
"Rondônia";"2014";"Número de óbitos de mulheres residentes por causas e condições consideradas de morte materna (Pessoas)";"22"
"Rondônia";"2014";"Número de nascidos vivos de mães residentes (Pessoas)";"27560"
"Rondônia";"2015";"Razão de mortalidade materna (Óbitos por 100 mil nascidos vivos)";"57,7"
"Rondônia";"2015";"Número de óbitos de mulheres residentes por causas e condições consideradas de morte materna (Pessoas)";"14"
"Rondônia";"2015";"Número de nascidos vivos de mães residentes (Pessoas)";"27918"
"Rondônia";"2016";"Razão de mortalidade materna (Óbitos por 100 mil nascidos vivos)";"56,4"
"Rondônia";"2016";"Número de óbitos de mulheres residentes por causas e condições consideradas de morte materna (Pessoas)";"15"
"Rondônia";"2016";"Número de nascidos vivos de mães residentes (Pessoas)";"26602"
"Rondônia";"2017";"Razão de mortalidade materna (Óbitos por 100 mil nascidos vivos)";"87,3"
"Rondônia";"2017";"Número de óbitos de mulheres residentes por causas e condições consideradas de morte materna (Pessoas)";"19"
"Rondônia";"2017";"Número de nascidos vivos de mães residentes (Pessoas)";"27503"
"Rondônia";"2018";"Razão de mortalidade materna (Óbitos por 100 mil nascidos vivos)";"47,8"
"Rondônia";"2018";"Número de óbitos de mulheres residentes por causas e condições consideradas de morte materna (Pessoas)";"10"
"Rondônia";"2018";"Número de nascidos vivos de mães residentes (Pessoas)";"28091"
"Rondônia";"2019";"Razão de mortalidade materna (Óbitos por 100 mil nascidos vivos)";"59,6"
"Rondônia";"2019";"Número de óbitos de mulheres residentes por causas e condições consideradas de morte materna (Pessoas)";"13"
"Rondônia";"2019";"Número de nascidos vivos de mães residentes (Pessoas)";"27028"
"Rondônia";"2020";"Razão de mortalidade materna (Óbitos por 100 mil nascidos vivos)";"78,1"
"Rondônia";"2020";"Número de óbitos de mulheres residentes por causas e condições consideradas de morte materna (Pessoas)";"18"
"Rondônia";"2020";"Número de nascidos vivos de mães residentes (Pessoas)";"25798"
"Rondônia";"2021";"Razão de mortalidade materna (Óbitos por 100 mil nascidos vivos)";"188,7"
"Rondônia";"2021";"Número de óbitos de mulheres residentes por causas e condições consideradas de morte materna (Pessoas)";"42"
"Rondônia";"2021";"Número de nascidos vivos de mães residentes (Pessoas)";"25439"
"Rondônia";"2022";"Razão de mortalidade materna (Óbitos por 100 mil nascidos vivos)";"52,2"
"Rondônia";"2022";"Número de óbitos de mulheres residentes por causas e condições consideradas de morte materna (Pessoas)";"11"
"Rondônia";"2022";"Número de nascidos vivos de mães residentes (Pessoas)";"24901"
"Rondônia";"2023";"Razão de mortalidade materna (Óbitos por 100 mil nascidos vivos)";"50,2"
"Rondônia";"2023";"Número de óbitos de mulheres residentes por causas e condições consideradas de morte materna (Pessoas)";"9"
"Rondônia";"2023";"Número de nascidos vivos de mães residentes (Pessoas)";"23921"
"Acre";"2009";"Razão de mortalidade materna (Óbitos por 100 mil nascidos vivos)";"41,4"
"Acre";"2009";"Número de óbitos de mulheres residentes por causas e condições consideradas de morte materna (Pessoas)";"7"
"Acre";"2009";"Número de nascidos vivos de mães residentes (Pessoas)";"16892"
"Acre";"2010";"Razão de mortalidade materna (Óbitos por 100 mil nascidos vivos)";"48,8"
"Acre";"2010";"Número de óbitos de mulheres residentes por causas e condições consideradas de morte materna (Pessoas)";"6"
"Acre";"2010";"Número de nascidos vivos de mães residentes (Pessoas)";"16495"
"Acre";"2011";"Razão de mortalidade materna (Óbitos por 100 mil nascidos vivos)";"33,7"
"Acre";"2011";"Número de óbitos de mulheres residentes por causas e condições consideradas de morte materna (Pessoas)";"6"
"Acre";"2011";"Número de nascidos vivos de mães residentes (Pessoas)";"17817"
"Acre";"2012";"Razão de mortalidade materna (Óbitos por 100 mil nascidos vivos)";"53,9"
"Acre";"2012";"Número de óbitos de mulheres residentes por causas e condições consideradas de morte materna (Pessoas)";"9"
"Acre";"2012";"Número de nascidos vivos de mães residentes (Pessoas)";"16700"
"Acre";"2013";"Razão de mortalidade materna (Óbitos por 100 mil nascidos vivos)";"58,6"
"Acre";"2013";"Número de óbitos de mulheres residentes por causas e condições consideradas de morte materna (Pessoas)";"10"
"Acre";"2013";"Número de nascidos vivos de mães residentes (Pessoas)";"17075"
"Acre";"2014";"Razão de mortalidade materna (Óbitos por 100 mil nascidos vivos)";"46,7"
"Acre";"2014";"Número de óbitos de mulheres residentes por causas e condições consideradas de morte materna (Pessoas)";"8"
"Acre";"2014";"Número de nascidos vivos de mães residentes (Pessoas)";"17139"
"Acre";"2015";"Razão de mortalidade materna (Óbitos por 100 mil nascidos vivos)";"58,9"
"Acre";"2015";"Número de óbitos de mulheres residentes por causas e condições consideradas de morte materna (Pessoas)";"10"
"Acre";"2015";"Número de nascidos vivos de mães residentes (Pessoas)";"16980"
"Acre";"2016";"Razão de mortalidade materna (Óbitos por 100 mil nascidos vivos)";"69,7"
"Acre";"2016";"Número de óbitos de mulheres residentes por causas e condições consideradas de morte materna (Pessoas)";"9"
"Acre";"2016";"Número de nascidos vivos de mães residentes (Pessoas)";"15773"
"Acre";"2017";"Razão de mortalidade materna (Óbitos por 100 mil nascidos vivos)";"48,9"
"Acre";"2017";"Número de óbitos de mulheres residentes por causas e condições consideradas de morte materna (Pessoas)";"8"
"Acre";"2017";"Número de nascidos vivos de mães residentes (Pessoas)";"16358"
"Acre";"2018";"Razão de mortalidade materna (Óbitos por 100 mil nascidos vivos)";"54,4"
"Acre";"2018";"Número de óbitos de mulheres residentes por causas e condições consideradas de morte materna (Pessoas)";"9"
"Acre";"2018";"Número de nascidos vivos de mães residentes (Pessoas)";"16543"
"Acre";"2019";"Razão de mortalidade materna (Óbitos por 100 mil nascidos vivos)";"49,1"
"Acre";"2019";"Número de óbitos de mulheres residentes por causas e condições consideradas de morte materna (Pessoas)";"8"
"Acre";"2019";"Número de nascidos vivos de mães residentes (Pessoas)";"16280"
"Acre";"2020";"Razão de mortalidade materna (Óbitos por 100 mil nascidos vivos)";"33,0"
"Acre";"2020";"Número de óbitos de mulheres residentes por causas e condições consideradas de morte materna (Pessoas)";"5"
"Acre";"2020";"Número de nascidos vivos de mães residentes (Pessoas)";"15142"
"Acre";"2021";"Razão de mortalidade materna (Óbitos por 100 mil nascidos vivos)";"95,5"
"Acre";"2021";"Número de óbitos de mulheres residentes por causas e condições consideradas de morte materna (Pessoas)";"15"
"Acre";"2021";"Número de nascidos vivos de mães residentes (Pessoas)";"15699"
"Acre";"2022";"Razão de mortalidade materna (Óbitos por 100 mil nascidos vivos)";"48,3"
"Acre";"2022";"Número de óbitos de mulheres residentes por causas e condições consideradas de morte materna (Pessoas)";"5"
"Acre";"2022";"Número de nascidos vivos de mães residentes (Pessoas)";"14483"
"Acre";"2023";"Razão de mortalidade materna (Óbitos por 100 mil nascidos vivos)";"55,3"
"Acre";"2023";"Número de óbitos de mulheres residentes por causas e condições consideradas de morte materna (Pessoas)";"6"
"Acre";"2023";"Número de nascidos vivos de mães residentes (Pessoas)";"14473"
"Amazonas";"2009";"Razão de mortalidade materna (Óbitos por 100 mil nascidos vivos)";"109,9"
"Amazonas";"2009";"Número de óbitos de mulheres residentes por causas e condições consideradas de morte materna (Pessoas)";"67"
"Amazonas";"2009";"Número de nascidos vivos de mães residentes (Pessoas)";"75729"
"Amazonas";"2010";"Razão de mortalidade materna (Óbitos por 100 mil nascidos vivos)";"119,5"
"Amazonas";"2010";"Número de óbitos de mulheres residentes por causas e condições consideradas de morte materna (Pessoas)";"70"
"Amazonas";"2010";"Número de nascidos vivos de mães residentes (Pessoas)";"74188"
"Amazonas";"2011";"Razão de mortalidade materna (Óbitos por 100 mil nascidos vivos)";"84,6"
"Amazonas";"2011";"Número de óbitos de mulheres residentes por causas e condições consideradas de morte materna (Pessoas)";"52"
"Amazonas";"2011";"Número de nascidos vivos de mães residentes (Pessoas)";"76202"
"Amazonas";"2012";"Razão de mortalidade materna (Óbitos por 100 mil nascidos vivos)";"85,0"
"Amazonas";"2012";"Número de óbitos de mulheres residentes por causas e condições consideradas de morte materna (Pessoas)";"50"
"Amazonas";"2012";"Número de nascidos vivos de mães residentes (Pessoas)";"77434"
"Amazonas";"2013";"Razão de mortalidade materna (Óbitos por 100 mil nascidos vivos)";"81,6"
"Amazonas";"2013";"Número de óbitos de mulheres residentes por causas e condições consideradas de morte materna (Pessoas)";"50"
"Amazonas";"2013";"Número de nascidos vivos de mães residentes (Pessoas)";"79041"
"Amazonas";"2014";"Razão de mortalidade materna (Óbitos por 100 mil nascidos vivos)";"120,8"
"Amazonas";"2014";"Número de óbitos de mulheres residentes por causas e condições consideradas de morte materna (Pessoas)";"78"
"Amazonas";"2014";"Número de nascidos vivos de mães residentes (Pessoas)";"81145"
"Amazonas";"2015";"Razão de mortalidade materna (Óbitos por 100 mil nascidos vivos)";"78,8"
"Amazonas";"2015";"Número de óbitos de mulheres residentes por causas e condições consideradas de morte materna (Pessoas)";"52"
"Amazonas";"2015";"Número de nascidos vivos de mães residentes (Pessoas)";"80097"
"Amazonas";"2016";"Razão de mortalidade materna (Óbitos por 100 mil nascidos vivos)";"84,7"
"Amazonas";"2016";"Número de óbitos de mulheres residentes por causas e condições consideradas de morte materna (Pessoas)";"55"
"Amazonas";"2016";"Número de nascidos vivos de mães residentes (Pessoas)";"76703"
"Amazonas";"2017";"Razão de mortalidade materna (Óbitos por 100 mil nascidos vivos)";"75,6"
"Amazonas";"2017";"Número de óbitos de mulheres residentes por causas e condições consideradas de morte materna (Pessoas)";"50"
"Amazonas";"2017";"Número de nascidos vivos de mães residentes (Pessoas)";"78066"
"Amazonas";"2018";"Razão de mortalidade materna (Óbitos por 100 mil nascidos vivos)";"108,4"
"Amazonas";"2018";"Número de óbitos de mulheres residentes por causas e condições consideradas de morte materna (Pessoas)";"71"
"Amazonas";"2018";"Número de nascidos vivos de mães residentes (Pessoas)";"78087"
"Amazonas";"2019";"Razão de mortalidade materna (Óbitos por 100 mil nascidos vivos)";"84,8"
"Amazonas";"2019";"Número de óbitos de mulheres residentes por causas e condições consideradas de morte materna (Pessoas)";"60"
"Amazonas";"2019";"Número de nascidos vivos de mães residentes (Pessoas)";"77622"
"Amazonas";"2020";"Razão de mortalidade materna (Óbitos por 100 mil nascidos vivos)";"101,8"
"Amazonas";"2020";"Número de óbitos de mulheres residentes por causas e condições consideradas de morte materna (Pessoas)";"77"
"Amazonas";"2020";"Número de nascidos vivos de mães residentes (Pessoas)";"75635"
"Amazonas";"2021";"Razão de mortalidade materna (Óbitos por 100 mil nascidos vivos)";"155,5"
"Amazonas";"2021";"Número de óbitos de mulheres residentes por causas e condições consideradas de morte materna (Pessoas)";"122"
"Amazonas";"2021";"Número de nascidos vivos de mães residentes (Pessoas)";"78454"
"Amazonas";"2022";"Razão de mortalidade materna (Óbitos por 100 mil nascidos vivos)";"82,7"
"Amazonas";"2022";"Número de óbitos de mulheres residentes por causas e condições consideradas de morte materna (Pessoas)";"53"
"Amazonas";"2022";"Número de nascidos vivos de mães residentes (Pessoas)";"72519"
"Amazonas";"2023";"Razão de mortalidade materna (Óbitos por 100 mil nascidos vivos)";"88,0"
"Amazonas";"2023";"Número de óbitos de mulheres residentes por causas e condições consideradas de morte materna (Pessoas)";"62"
"Amazonas";"2023";"Número de nascidos vivos de mães residentes (Pessoas)";"70453"
"Roraima";"2009";"Razão de mortalidade materna (Óbitos por 100 mil nascidos vivos)";"125,0"
"Roraima";"2009";"Número de óbitos de mulheres residentes por causas e condições consideradas de morte materna (Pessoas)";"10"
"Roraima";"2009";"Número de nascidos vivos de mães residentes (Pessoas)";"9673"
"Roraima";"2010";"Razão de mortalidade materna (Óbitos por 100 mil nascidos vivos)";"13,8"
"Roraima";"2010";"Número de óbitos de mulheres residentes por causas e condições consideradas de morte materna (Pessoas)";"1"
"Roraima";"2010";"Número de nascidos vivos de mães residentes (Pessoas)";"9738"
"Roraima";"2011";"Razão de mortalidade materna (Óbitos por 100 mil nascidos vivos)";"67,5"
"Roraima";"2011";"Número de óbitos de mulheres residentes por causas e condições consideradas de morte materna (Pessoas)";"6"
"Roraima";"2011";"Número de nascidos vivos de mães residentes (Pessoas)";"9945"
"Roraima";"2012";"Razão de mortalidade materna (Óbitos por 100 mil nascidos vivos)";"38,0"
"Roraima";"2012";"Número de óbitos de mulheres residentes por causas e condições consideradas de morte materna (Pessoas)";"4"
"Roraima";"2012";"Número de nascidos vivos de mães residentes (Pessoas)";"10601"
"Roraima";"2013";"Razão de mortalidade materna (Óbitos por 100 mil nascidos vivos)";"74,5"
"Roraima";"2013";"Número de óbitos de mulheres residentes por causas e condições consideradas de morte materna (Pessoas)";"6"
"Roraima";"2013";"Número de nascidos vivos de mães residentes (Pessoas)";"10814"
"Roraima";"2014";"Razão de mortalidade materna (Óbitos por 100 mil nascidos vivos)";"60,4"
"Roraima";"2014";"Número de óbitos de mulheres residentes por causas e condições consideradas de morte materna (Pessoas)";"5"
"Roraima";"2014";"Número de nascidos vivos de mães residentes (Pessoas)";"11120"
"Roraima";"2015";"Razão de mortalidade materna (Óbitos por 100 mil nascidos vivos)";"96,4"
"Roraima";"2015";"Número de óbitos de mulheres residentes por causas e condições consideradas de morte materna (Pessoas)";"11"
"Roraima";"2015";"Número de nascidos vivos de mães residentes (Pessoas)";"11412"
"Roraima";"2016";"Razão de mortalidade materna (Óbitos por 100 mil nascidos vivos)";"52,7"
"Roraima";"2016";"Número de óbitos de mulheres residentes por causas e condições consideradas de morte materna (Pessoas)";"6"
"Roraima";"2016";"Número de nascidos vivos de mães residentes (Pessoas)";"11376"
"Roraima";"2017";"Razão de mortalidade materna (Óbitos por 100 mil nascidos vivos)";"59,6"
"Roraima";"2017";"Número de óbitos de mulheres residentes por causas e condições consideradas de morte materna (Pessoas)";"6"
"Roraima";"2017";"Número de nascidos vivos de mães residentes (Pessoas)";"11737"
"Roraima";"2018";"Razão de mortalidade materna (Óbitos por 100 mil nascidos vivos)";"100,6"
"Roraima";"2018";"Número de óbitos de mulheres residentes por causas e condições consideradas de morte materna (Pessoas)";"10"
"Roraima";"2018";"Número de nascidos vivos de mães residentes (Pessoas)";"13344"
"Roraima";"2019";"Razão de mortalidade materna (Óbitos por 100 mil nascidos vivos)";"91,9"
"Roraima";"2019";"Número de óbitos de mulheres residentes por causas e condições consideradas de morte materna (Pessoas)";"11"
"Roraima";"2019";"Número de nascidos vivos de mães residentes (Pessoas)";"14620"
"Roraima";"2020";"Razão de mortalidade materna (Óbitos por 100 mil nascidos vivos)";"146,4"
"Roraima";"2020";"Número de óbitos de mulheres residentes por causas e condições consideradas de morte materna (Pessoas)";"20"
"Roraima";"2020";"Número de nascidos vivos de mães residentes (Pessoas)";"13760"
"Roraima";"2021";"Razão de mortalidade materna (Óbitos por 100 mil nascidos vivos)";"309,3"
"Roraima";"2021";"Número de óbitos de mulheres residentes por causas e condições consideradas de morte materna (Pessoas)";"36"
"Roraima";"2021";"Número de nascidos vivos de mães residentes (Pessoas)";"13901"
"Roraima";"2022";"Razão de mortalidade materna (Óbitos por 100 mil nascidos vivos)";"160,4"
"Roraima";"2022";"Número de óbitos de mulheres residentes por causas e condições consideradas de morte materna (Pessoas)";"19"
"Roraima";"2022";"Número de nascidos vivos de mães residentes (Pessoas)";"13091"
"Roraima";"2023";"Razão de mortalidade materna (Óbitos por 100 mil nascidos vivos)";"129,7"
"Roraima";"2023";"Número de óbitos de mulheres residentes por causas e condições consideradas de morte materna (Pessoas)";"16"
"Roraima";"2023";"Número de nascidos vivos de mães residentes (Pessoas)";"13105"
"Pará";"2009";"Razão de mortalidade materna (Óbitos por 100 mil nascidos vivos)";"73,2"
"Pará";"2009";"Número de óbitos de mulheres residentes por causas e condições consideradas de morte materna (Pessoas)";"82"
"Pará";"2009";"Número de nascidos vivos de mães residentes (Pessoas)";"143140"
"Pará";"2010";"Razão de mortalidade materna (Óbitos por 100 mil nascidos vivos)";"69,7"
"Pará";"2010";"Número de óbitos de mulheres residentes por causas e condições consideradas de morte materna (Pessoas)";"78"
"Pará";"2010";"Número de nascidos vivos de mães residentes (Pessoas)";"140687"
"Pará";"2011";"Razão de mortalidade materna (Óbitos por 100 mil nascidos vivos)";"73,8"
"Pará";"2011";"Número de óbitos de mulheres residentes por causas e condições consideradas de morte materna (Pessoas)";"85"
"Pará";"2011";"Número de nascidos vivos de mães residentes (Pessoas)";"141974"
"Pará";"2012";"Razão de mortalidade materna (Óbitos por 100 mil nascidos vivos)";"78,9"
"Pará";"2012";"Número de óbitos de mulheres residentes por causas e condições consideradas de morte materna (Pessoas)";"94"
"Pará";"2012";"Número de nascidos vivos de mães residentes (Pessoas)";"137837"
"Pará";"2013";"Razão de mortalidade materna (Óbitos por 100 mil nascidos vivos)";"86,7"
"Pará";"2013";"Número de óbitos de mulheres residentes por causas e condições consideradas de morte materna (Pessoas)";"120"
"Pará";"2013";"Número de nascidos vivos de mães residentes (Pessoas)";"139416"
"Pará";"2014";"Razão de mortalidade materna (Óbitos por 100 mil nascidos vivos)";"96,4"
"Pará";"2014";"Número de óbitos de mulheres residentes por causas e condições consideradas de morte materna (Pessoas)";"117"
"Pará";"2014";"Número de nascidos vivos de mães residentes (Pessoas)";"143503"
"Pará";"2015";"Razão de mortalidade materna (Óbitos por 100 mil nascidos vivos)";"72,9"
"Pará";"2015";"Número de óbitos de mulheres residentes por causas e condições consideradas de morte materna (Pessoas)";"95"
"Pará";"2015";"Número de nascidos vivos de mães residentes (Pessoas)";"143657"
"Pará";"2016";"Razão de mortalidade materna (Óbitos por 100 mil nascidos vivos)";"86,4"
"Pará";"2016";"Número de óbitos de mulheres residentes por causas e condições consideradas de morte materna (Pessoas)";"103"
"Pará";"2016";"Número de nascidos vivos de mães residentes (Pessoas)";"137681"
"Pará";"2017";"Razão de mortalidade materna (Óbitos por 100 mil nascidos vivos)";"107,4"
"Pará";"2017";"Número de óbitos de mulheres residentes por causas e condições consideradas de morte materna (Pessoas)";"129"
"Pará";"2017";"Número de nascidos vivos de mães residentes (Pessoas)";"138684"
"Pará";"2018";"Razão de mortalidade materna (Óbitos por 100 mil nascidos vivos)";"81,4"
"Pará";"2018";"Número de óbitos de mulheres residentes por causas e condições consideradas de morte materna (Pessoas)";"108"
"Pará";"2018";"Número de nascidos vivos de mães residentes (Pessoas)";"141819"
"Pará";"2019";"Razão de mortalidade materna (Óbitos por 100 mil nascidos vivos)";"96,1"
"Pará";"2019";"Número de óbitos de mulheres residentes por causas e condições consideradas de morte materna (Pessoas)";"121"
"Pará";"2019";"Número de nascidos vivos de mães residentes (Pessoas)";"138341"
"Pará";"2020";"Razão de mortalidade materna (Óbitos por 100 mil nascidos vivos)";"107,1"
"Pará";"2020";"Número de óbitos de mulheres residentes por causas e condições consideradas de morte materna (Pessoas)";"132"
"Pará";"2020";"Número de nascidos vivos de mães residentes (Pessoas)";"132938"
"Pará";"2021";"Razão de mortalidade materna (Óbitos por 100 mil nascidos vivos)";"131,3"
"Pará";"2021";"Número de óbitos de mulheres residentes por causas e condições consideradas de morte materna (Pessoas)";"166"
"Pará";"2021";"Número de nascidos vivos de mães residentes (Pessoas)";"137129"
"Pará";"2022";"Razão de mortalidade materna (Óbitos por 100 mil nascidos vivos)";"79,7"
"Pará";"2022";"Número de óbitos de mulheres residentes por causas e condições consideradas de morte materna (Pessoas)";"99"
"Pará";"2022";"Número de nascidos vivos de mães residentes (Pessoas)";"128000"
"Pará";"2023";"Razão de mortalidade materna (Óbitos por 100 mil nascidos vivos)";"77,7"
"Pará";"2023";"Número de óbitos de mulheres residentes por causas e condições consideradas de morte materna (Pessoas)";"83"
"Pará";"2023";"Número de nascidos vivos de mães residentes (Pessoas)";"126152"
"Amapá";"2009";"Razão de mortalidade materna (Óbitos por 100 mil nascidos vivos)";"37,6"
"Amapá";"2009";"Número de óbitos de mulheres residentes por causas e condições consideradas de morte materna (Pessoas)";"4"
"Amapá";"2009";"Número de nascidos vivos de mães residentes (Pessoas)";"14298"
"Amapá";"2010";"Razão de mortalidade materna (Óbitos por 100 mil nascidos vivos)";"26,8"
"Amapá";"2010";"Número de óbitos de mulheres residentes por causas e condições consideradas de morte materna (Pessoas)";"3"
"Amapá";"2010";"Número de nascidos vivos de mães residentes (Pessoas)";"15008"
"Amapá";"2011";"Razão de mortalidade materna (Óbitos por 100 mil nascidos vivos)";"53,3"
"Amapá";"2011";"Número de óbitos de mulheres residentes por causas e condições consideradas de morte materna (Pessoas)";"6"
"Amapá";"2011";"Número de nascidos vivos de mães residentes (Pessoas)";"15114"
"Amapá";"2012";"Razão de mortalidade materna (Óbitos por 100 mil nascidos vivos)";"54,1"
"Amapá";"2012";"Número de óbitos de mulheres residentes por causas e condições consideradas de morte materna (Pessoas)";"6"
"Amapá";"2012";"Número de nascidos vivos de mães residentes (Pessoas)";"14895"
"Amapá";"2013";"Razão de mortalidade materna (Óbitos por 100 mil nascidos vivos)";"119,7"
"Amapá";"2013";"Número de óbitos de mulheres residentes por causas e condições consideradas de morte materna (Pessoas)";"14"
"Amapá";"2013";"Número de nascidos vivos de mães residentes (Pessoas)";"15710"
"Amapá";"2014";"Razão de mortalidade materna (Óbitos por 100 mil nascidos vivos)";"66,0"
"Amapá";"2014";"Número de óbitos de mulheres residentes por causas e condições consideradas de morte materna (Pessoas)";"8"
"Amapá";"2014";"Número de nascidos vivos de mães residentes (Pessoas)";"16271"
"Amapá";"2015";"Razão de mortalidade materna (Óbitos por 100 mil nascidos vivos)";"110,8"
"Amapá";"2015";"Número de óbitos de mulheres residentes por causas e condições consideradas de morte materna (Pessoas)";"13"
"Amapá";"2015";"Número de nascidos vivos de mães residentes (Pessoas)";"15750"
"Amapá";"2016";"Razão de mortalidade materna (Óbitos por 100 mil nascidos vivos)";"141,7"
"Amapá";"2016";"Número de óbitos de mulheres residentes por causas e condições consideradas de morte materna (Pessoas)";"17"
"Amapá";"2016";"Número de nascidos vivos de mães residentes (Pessoas)";"15521"
"Amapá";"2017";"Razão de mortalidade materna (Óbitos por 100 mil nascidos vivos)";"45,5"
"Amapá";"2017";"Número de óbitos de mulheres residentes por causas e condições consideradas de morte materna (Pessoas)";"7"
"Amapá";"2017";"Número de nascidos vivos de mães residentes (Pessoas)";"15399"
"Amapá";"2018";"Razão de mortalidade materna (Óbitos por 100 mil nascidos vivos)";"88,3"
"Amapá";"2018";"Número de óbitos de mulheres residentes por causas e condições consideradas de morte materna (Pessoas)";"14"
"Amapá";"2018";"Número de nascidos vivos de mães residentes (Pessoas)";"15864"
"Amapá";"2019";"Razão de mortalidade materna (Óbitos por 100 mil nascidos vivos)";"32,6"
"Amapá";"2019";"Número de óbitos de mulheres residentes por causas e condições consideradas de morte materna (Pessoas)";"5"
"Amapá";"2019";"Número de nascidos vivos de mães residentes (Pessoas)";"15356"
"Amapá";"2020";"Razão de mortalidade materna (Óbitos por 100 mil nascidos vivos)";"102,5"
"Amapá";"2020";"Número de óbitos de mulheres residentes por causas e condições consideradas de morte materna (Pessoas)";"15"
"Amapá";"2020";"Número de nascidos vivos de mães residentes (Pessoas)";"14633"
"Amapá";"2021";"Razão de mortalidade materna (Óbitos por 100 mil nascidos vivos)";"93,4"
"Amapá";"2021";"Número de óbitos de mulheres residentes por causas e condições consideradas de morte materna (Pessoas)";"14"
"Amapá";"2021";"Número de nascidos vivos de mães residentes (Pessoas)";"14993"
"Amapá";"2022";"Razão de mortalidade materna (Óbitos por 100 mil nascidos vivos)";"80,8"
"Amapá";"2022";"Número de óbitos de mulheres residentes por causas e condições consideradas de morte materna (Pessoas)";"11"
"Amapá";"2022";"Número de nascidos vivos de mães residentes (Pessoas)";"13615"
"Amapá";"2023";"Razão de mortalidade materna (Óbitos por 100 mil nascidos vivos)";"92,7"
"Amapá";"2023";"Número de óbitos de mulheres residentes por causas e condições consideradas de morte materna (Pessoas)";"12"
"Amapá";"2023";"Número de nascidos vivos de mães residentes (Pessoas)";"12948"
"Tocantins";"2009";"Razão de mortalidade materna (Óbitos por 100 mil nascidos vivos)";"97,0"
"Tocantins";"2009";"Número de óbitos de mulheres residentes por causas e condições consideradas de morte materna (Pessoas)";"22"
"Tocantins";"2009";"Número de nascidos vivos de mães residentes (Pessoas)";"24911"
"Tocantins";"2010";"Razão de mortalidade materna (Óbitos por 100 mil nascidos vivos)";"76,8"
"Tocantins";"2010";"Número de óbitos de mulheres residentes por causas e condições consideradas de morte materna (Pessoas)";"18"
"Tocantins";"2010";"Número de nascidos vivos de mães residentes (Pessoas)";"24471"
"Tocantins";"2011";"Razão de mortalidade materna (Óbitos por 100 mil nascidos vivos)";"112,6"
"Tocantins";"2011";"Número de óbitos de mulheres residentes por causas e condições consideradas de morte materna (Pessoas)";"26"
"Tocantins";"2011";"Número de nascidos vivos de mães residentes (Pessoas)";"25035"
"Tocantins";"2012";"Razão de mortalidade materna (Óbitos por 100 mil nascidos vivos)";"53,3"
"Tocantins";"2012";"Número de óbitos de mulheres residentes por causas e condições consideradas de morte materna (Pessoas)";"13"
"Tocantins";"2012";"Número de nascidos vivos de mães residentes (Pessoas)";"24395"
"Tocantins";"2013";"Razão de mortalidade materna (Óbitos por 100 mil nascidos vivos)";"61,2"
"Tocantins";"2013";"Número de óbitos de mulheres residentes por causas e condições consideradas de morte materna (Pessoas)";"14"
"Tocantins";"2013";"Número de nascidos vivos de mães residentes (Pessoas)";"24119"
"Tocantins";"2014";"Razão de mortalidade materna (Óbitos por 100 mil nascidos vivos)";"60,1"
"Tocantins";"2014";"Número de óbitos de mulheres residentes por causas e condições consideradas de morte materna (Pessoas)";"15"
"Tocantins";"2014";"Número de nascidos vivos de mães residentes (Pessoas)";"24944"
"Tocantins";"2015";"Razão de mortalidade materna (Óbitos por 100 mil nascidos vivos)";"85,6"
"Tocantins";"2015";"Número de óbitos de mulheres residentes por causas e condições consideradas de morte materna (Pessoas)";"19"
"Tocantins";"2015";"Número de nascidos vivos de mães residentes (Pessoas)";"25110"
"Tocantins";"2016";"Razão de mortalidade materna (Óbitos por 100 mil nascidos vivos)";"92,2"
"Tocantins";"2016";"Número de óbitos de mulheres residentes por causas e condições consideradas de morte materna (Pessoas)";"18"
"Tocantins";"2016";"Número de nascidos vivos de mães residentes (Pessoas)";"23870"
"Tocantins";"2017";"Razão de mortalidade materna (Óbitos por 100 mil nascidos vivos)";"96,3"
"Tocantins";"2017";"Número de óbitos de mulheres residentes por causas e condições consideradas de morte materna (Pessoas)";"21"
"Tocantins";"2017";"Número de nascidos vivos de mães residentes (Pessoas)";"24935"
"Tocantins";"2018";"Razão de mortalidade materna (Óbitos por 100 mil nascidos vivos)";"31,6"
"Tocantins";"2018";"Número de óbitos de mulheres residentes por causas e condições consideradas de morte materna (Pessoas)";"8"
"Tocantins";"2018";"Número de nascidos vivos de mães residentes (Pessoas)";"25480"
"Tocantins";"2019";"Razão de mortalidade materna (Óbitos por 100 mil nascidos vivos)";"71,4"
"Tocantins";"2019";"Número de óbitos de mulheres residentes por causas e condições consideradas de morte materna (Pessoas)";"15"
"Tocantins";"2019";"Número de nascidos vivos de mães residentes (Pessoas)";"24449"
"Tocantins";"2020";"Razão de mortalidade materna (Óbitos por 100 mil nascidos vivos)";"79,2"
"Tocantins";"2020";"Número de óbitos de mulheres residentes por causas e condições consideradas de morte materna (Pessoas)";"18"
"Tocantins";"2020";"Número de nascidos vivos de mães residentes (Pessoas)";"23729"
"Tocantins";"2021";"Razão de mortalidade materna (Óbitos por 100 mil nascidos vivos)";"227,4"
